,brand,reviews_doRecommend,reviews_rating_score,reviews_text,reviews_title,review_rating
10,Amazon,TRUE,4,Not easy for elderly users cease of ads that pop up.,nice tablet for the price,POSITIVE
11,Amazon,TRUE,5,"Excellent product. Easy to use, large screen makes watching movies and reading easier.",Excellent product,POSITIVE
12,Amazon,TRUE,4,Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.,Great Value,POSITIVE
13,Amazon,TRUE,5,Simply does everything I need. Thank youAnd silk works wonders,Excellect,POSITIVE
14,Amazon,TRUE,5,Got it as a present and love the size of the screen,Living It,POSITIVE
15,Amazon,TRUE,5,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.",Favorite of any tablet,POSITIVE
16,Amazon,TRUE,4,nice reader. almost perfect for what i want/need. good bargain,good,POSITIVE
17,Amazon,TRUE,4,I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.,Nice Tablet for the Price,POSITIVE
18,Amazon,TRUE,5,Great video quality lots of fun apps fun for the whole family,Great quality tablet,POSITIVE
19,Amazon,TRUE,5,Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love the fact that you can now use a memory card in it...that helps so much when you use it for books...games...music and viedos...thanks,Kindle fire 8,POSITIVE
20,Amazon,TRUE,5,"Excellent tablet with nice screen. I wish Amazon would pre install the play store, this would have been perfect.",Excellent reader,POSITIVE
21,Amazon,TRUE,5,"Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint.",Best Tablet Choice,POSITIVE
22,Amazon,TRUE,5,"Very happy with this product and easy to use..picture is clear, takes great pictures..",Great size..,POSITIVE
23,Amazon,TRUE,5,"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving many benefits from them!",Great tablet for kids!,POSITIVE
24,Amazon,TRUE,5,"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use.",First Tablet. Lots of possibilities.,POSITIVE
25,Amazon,TRUE,4,I purchased this when my last tablet died. It meets all basic needs and the price was great.,Great price for a basic tablet.,POSITIVE
26,Amazon,TRUE,4,"Perfect for downloading and reading books !! Perfect size and has a nice, bright screen.","Great, quality tablet",POSITIVE
27,Amazon,TRUE,5,I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.,Excellent for simple games and social media.,POSITIVE
28,Amazon,TRUE,5,I got it for my son. Its user friendly and durable.,I like it,POSITIVE
29,Amazon,TRUE,5,"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.",Great Tablet,POSITIVE
30,Amazon,TRUE,5,If your looking for a affordable gift this is it!.,looking for a great gift that is affordable.,POSITIVE
31,Amazon,TRUE,5,"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.","Great Tablet, Great Price",POSITIVE
32,Amazon,TRUE,4,Works great. Love the portability of books. Overall great product,Great product,POSITIVE
33,Amazon,TRUE,5,I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.,Enjoying my new tablet,POSITIVE
34,Amazon,TRUE,5,Just the right size for reading books and playing some games.,Perfect size,POSITIVE
35,Amazon,TRUE,5,I love everything about this tablet! The imaging is sharp and clear. It's fast and light weight. Love it!,Love my Amazon Fire HD 8 tablet,POSITIVE
36,Amazon,TRUE,4,Overall a nice product for traveling purposes Value for money,Great product,POSITIVE
37,Amazon,TRUE,5,"My children love this table great quality of pictures, excellent camera",Great for kids,POSITIVE
38,Amazon,TRUE,5,I bought 3 tablets and my family was not disappointed.,Great Tablet,POSITIVE
39,Amazon,TRUE,5,Great tablet fast screen good size never gives me problem,Great,POSITIVE
40,Amazon,TRUE,4,"Bought this for my 87 year old grandmother who wanted to be able to play games and read books from the library. My aunt lives with her and can help her use it so its perfect for that type of user. After playing with It, I would consider it for just about anyone other than a hardcore user that wants the latest and greatest tech. if you are tech saavy, you can do more with these Fire tablets than advertised.",Good low cost option for tablet,POSITIVE
41,Amazon,TRUE,5,This is exactly what the person wanted as a gift and she enjoys using it.,Enjoyable,POSITIVE
42,Amazon,TRUE,4,Does all basic functions of a tablet. Hardcore users may want an iPad.,Good starter tablet,POSITIVE
43,Amazon,TRUE,4,Works great for a simple tablet. Not a huge fan of the silk browser but it could be worse! I am very happy with my purchase!,"Priced to sell, nice little unit!",POSITIVE
44,Amazon,TRUE,5,It's fast and easy to use. This is my second kindle fire .,Love the camera,POSITIVE
45,Amazon,TRUE,4,More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.,Was looking for an Kindle,POSITIVE
46,Amazon,TRUE,5,"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet.",great tablet for the money,POSITIVE
47,Amazon,TRUE,5,"Easy to use, solid build, sharp HP screen for movies. Who needs more?",Nice HD tablet,POSITIVE
48,Amazon,TRUE,5,Tablet is perfect for beginners who just want basic,Ease of use,POSITIVE
49,Amazon,TRUE,5,"this is my first tablet .. love it .. actually read my first e-book on it .. large screen, easy to read & play games .. fits nicely in my purse",Awesome,POSITIVE
50,Amazon,TRUE,4,This 8 inch Fire is definitely better than the cheaper 7 inch. It works fine enough for teens to play games and watch movies.,Decent Tablet for Teen Basic Games,POSITIVE
51,Amazon,TRUE,4,"Great tablet for under $100. Does not have the highest specs, but gets the job done for lite tablet users.",Great tablet for the price,POSITIVE
52,Amazon,TRUE,4,"I purchased the kindle fire because I needed a entertainment only device for long flights. This device is the perfect size for travel and easy to use and set up with your Amazon account. It is worth purchasing a Fire tablet if you are an Amazon Prime member. If not, I would not recommend it because the available apps are limited . My only complaint about this device is that if it freezes it is difficult to reset.",Fire Tablet - great for entertainment,POSITIVE
53,Amazon,TRUE,4,This fire tablet has long battery life. Reasonable fast,Good for Kids,POSITIVE
54,Amazon,TRUE,4,Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.,My wife loves it.,POSITIVE
55,Amazon,TRUE,5,Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.,Great!,POSITIVE
56,Amazon,TRUE,5,Best and most affordable option of all the Kindle devices available.,Great Device,POSITIVE
57,Amazon,TRUE,5,"I did not want to get a new kindle but my old one would not charge or show a charge anymore. I could not depend on it for any length of time so I finally broke down and bought a new one. I am very happy with this one. I was afraid I would lose my music and photos since not all came from the Amazon store. However, everything I had on the old kindle transferred to the new one. I am still learning all about it but so far so good.",A nice upgrade to my old kindle.,POSITIVE
58,Amazon,TRUE,5,My daughter likes this tablet to play her online games!,Present for my daughter & she loves it!,POSITIVE
59,Amazon,TRUE,4,Easy to figure out and used it extensively on my vacation.,Great little device,POSITIVE
60,Amazon,TRUE,5,"Excellent tablet to leave at my easel and display reference photos. It's light enough to velcro to a articulating stand (so I can position the tablet right next to my canvas). It's cheap enough to not worry about. I love it, for the price.",Perfect for artist reference photos!,POSITIVE
61,Amazon,TRUE,5,I bought this wanting for books comics and movies and it has not disappoint ever since,Great tablet for what it's worth,POSITIVE
62,Amazon,TRUE,5,My 4 year old Grandson loves his Kindle. He had to have one after his sister got one.,Great tablet,POSITIVE
63,Amazon,TRUE,5,Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.,Good pad for a beginner,POSITIVE
64,Amazon,TRUE,4,This Kindle does what I need it to do. The camera could be better but overall I am pretty happy with my purchase.,Pretty Decent,POSITIVE
65,Amazon,TRUE,5,Purchased this for my daughter to do more reading. It has so much more options for her if she wants.,Great deal,POSITIVE
66,Amazon,TRUE,5,"this is a great tablet for the price. my kid loves it ,does alot reading on it.",great for my kids,POSITIVE
67,Amazon,TRUE,4,I was really hoping that this would be faster than some other inexspensive tablets I've had. I mainly use it for email though and it does the job.,Can be slow,POSITIVE
68,Amazon,TRUE,4,Bought as a Christmas gift for someone. I bought iPad as well. Will update when it's used.,Great price,POSITIVE
69,Amazon,TRUE,5,Great tablet for the price. It is easy to navigate.,Kindle Fire tablet,POSITIVE
70,Amazon,TRUE,5,I believe that this will be very useful during my husbands recovery from foot surgery.,Great tablet for a beginner,POSITIVE
71,Amazon,TRUE,4,This is something that is useful if your looking for something to take along trips,Hd tablet,POSITIVE
72,Amazon,TRUE,5,This is a wonderful device. I love the extra capabilities and apps.,Great tablet,POSITIVE
73,Amazon,TRUE,4,Decent tablet. Access to kindle and pretty much all your google apps.,Pretty nice,POSITIVE
74,Amazon,TRUE,5,I am very happy with this tablet. The worst thing is that my steals it all the time. Lol,Great tablet,POSITIVE
75,Amazon,TRUE,5,"A family member has vision problems. They had seen/used the Kindle of another family member - especially the ability to scale text. This device will make it possible to read, which she has had extreme difficulty doing.",A gift for Grandma,POSITIVE
76,Amazon,TRUE,5,Easy setup and connect to WIFI. Great viewing area. Easy to read in bright places.,Great Price for the reader,POSITIVE
77,Amazon,TRUE,5,I got this fire for my friend who wants to buy kindle..this serves both Kindle and Tab... very nice and very cheap..worth for what i paid.. I highly recommend this for beginners,Great Tab!!!!,POSITIVE
78,Amazon,TRUE,5,Really enjoyed the price value of this tablet versus ipad,Awesome tablet for kids,POSITIVE
79,Amazon,TRUE,5,Amazing tablet with fast processor. It looks great... got good deal,Great basic tab,POSITIVE
80,Amazon,TRUE,5,We got this for our 5 year old and this is really great for the price. Works like a charm!!,Good tablets for kids,POSITIVE
81,Amazon,TRUE,5,"I find it easy to use, but the kindle does not come with instructions, so you have to find your way around.",I love my kindle......best investment I have made,POSITIVE
82,Amazon,TRUE,4,"I bought this because I was tired of watching Youtube and Twitch on my phone. Excellent display sound is decent-not great but you can always buy a speaker. The negatives are-it is definitely a fingerprint magnet, and the Spectrum TV app is AWFUL-the app works fine on my phone, but for some reason on this tablet it freezes and is unusable. All things considered, for 65 bucks it's hard to be beat.",Excellent for it's price point.,POSITIVE
83,Amazon,TRUE,5,"I love this tablet. The battery life last a long time. I use my Amazon Kindle Fire predominately for watching movies on Amazon Prime, Netflix's, and checking my emails. I also carry it to my appointments and meetings. It is a compact tablet, and not big and bulky. The playback of the movies are great, and the movies are HD. Great little tablet if you are looking for something to watch movies and checking emails. I would definitely recommend this tablet to friends and family members.",Excellent HD8 16GB Tablet,POSITIVE
84,Amazon,TRUE,5,"My daughter loves this kindle, she does so much with it,well worth the money.",Kindle fire hd,POSITIVE
85,Amazon,TRUE,5,Was looking for a tablet that was highly portable & could run my DIRECTTV app & stream videos. (Other electronics I have are much older versions). Salesman recommended this model to me based on personal experience. I am still learning all its functions but so far it seems easy to use & is doing what it promised to do.,First Amazon FIRE,POSITIVE
86,Amazon,TRUE,5,"This is my second Fire, the other one is now retired. I like having HD. Works just fine.",good price,POSITIVE
87,Amazon,TRUE,5,My wife bought this for me for my birthday. I enjoy reading biographys which usually have color photos. The regular Kindle make the pics black and white or they're aren't any. This allows me to see the color photos. I also love the night feature when I'm in bed reading. I no longer need a light on to read or need to hold a large book.,Love it,POSITIVE
88,Amazon,TRUE,5,"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets.",Easy to learn to use its many features.,POSITIVE
89,Amazon,TRUE,5,"It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job.",Great little tablet,POSITIVE
90,Amazon,TRUE,4,Bought it for my 10 yr old granddaughter. Does everything she wants it to do in a tablet.,Granddaughter loves it!,POSITIVE
91,Amazon,TRUE,5,Very easy to use tablet. Lots of apps and game available.,Easy to use,POSITIVE
92,Amazon,TRUE,5,"We love the FreeTime settings for kids on the newer Kindle Fires. I was able to create a login for each of our kids as well as myself and set limits to the amount of device time they are allowed daily (can set to more for weekends if desired). You can set the age restrictions for content also, to avoid inappropriate ads, etc. Once you've downloaded apps, you can choose which ones you want each child to have access to in their profile settings, so if one child is older you can allow them access to something their younger siblings shouldn't have. Basically, I like that I can set their access rights and know they're safe so I don't have to continually monitor every moment. By the way, FreeTime kids settings are available without having to subscribe to their FreeTime app access plan. :)",Great tablet for kids!,POSITIVE
93,Amazon,TRUE,5,"Great tablet, very clear picture. Would buy again.",Love it!,POSITIVE
94,Amazon,TRUE,4,Good reader which is why I bought it. Ads are annoying.,"Good, not great",POSITIVE
95,Amazon,TRUE,4,"It's a mini computer packed in a handheld devise. Applications load quickly and I am able to get my work completed, while riding the commuter rail.",Think it is a good product,POSITIVE
96,Amazon,TRUE,4,Nice for a smaller tablet. It's good for Internet surfing.,User friendly,POSITIVE
97,Amazon,TRUE,5,"Purchased as a door prize gift given with a one year Amazon membership. The recipient loves it and says it performs very well. (As a past Amazon Fire user, now i-Pad graduate, I loved my Amazon Fire for more than 4 years without any problems. In fact, I just recycled it on to my son and it runs like a champ).",Excellent -- purchased for door prize,POSITIVE
98,Amazon,TRUE,5,"I have 4 other kinds of tables. This the best I have had. I can listen to music, read a book, listen to a book, or watch movies/tv shows.",Very versatile tablet.,POSITIVE
99,Amazon,TRUE,5,Great product for the kids gaming apps parental controls to make sure you can monitor kids and prevent unwanted app purchases,Works great,POSITIVE
100,Amazon,TRUE,5,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.,Great deal!,POSITIVE
101,Amazon,TRUE,5,Great product. Love the Amazon ecosystem. The Freetime subscription is a must,Awesome,POSITIVE
102,Amazon,TRUE,5,"Needed something a bit larger than the 6+ to stream Netflix, this was perfect!",Woks great!,POSITIVE
103,Amazon,TRUE,5,"my husband bought this for me as a Christmas present. I couldn't understand why he bought it because I already have a Kindle Fire.Once I opened it and got it going, I loved all it could do plus the graphic is so much colorful than my older Kindle.",love it!!,POSITIVE
104,Amazon,TRUE,5,my grandson-8-loves this --the games and the books!,amazon fire,POSITIVE
105,Amazon,TRUE,4,Great product and I'm very satisfied with it. I recommend it to other people.,I'm happy with it,POSITIVE
106,Amazon,TRUE,4,I purchased this tablet for my niece for Christmas and she love it.,It's a great item that I purchased as a Christmas.,POSITIVE
107,Amazon,TRUE,5,"Easy to use, responds quickly, great screen brightness.",Love It!,POSITIVE
108,Amazon,TRUE,4,Great tablet but apps limited comparison of other tablets.,Disappointed no access to Apps without credit card,POSITIVE
109,Amazon,TRUE,5,Works as we thought it should. NO PROBLEMS. Good buying experience.,Daughter loves it,POSITIVE
110,Amazon,TRUE,4,"We have the smaller one, and been great. This one is even better, because of the size.",Good size,POSITIVE
111,Amazon,TRUE,5,"I am a prime member & I love this tablet. Very user friendly especially if you are a prime member with amazon. Not real tech savvy so I need all the help I can get to keep things simple & automatic. Great clarity of picture/data. Have a 10"" tablet and wasn't sure about downgrading size (old eyes) but was delighted to see it works fine at 8"" instead of 10"". Also, easier to take around in the smaller size. Highly recommend especially if you subscribe to Amazon and are a prime member. Great benefits!!",Love this tablet!,POSITIVE
112,Amazon,TRUE,5,Got this for my wife. She loves the bigger screen and the better app management features that this one has over her earlier generation kindle. Definitely worth it!,bigger screen!,POSITIVE
113,Amazon,TRUE,5,"Connects to home WiFi automatically. Many books, and many games. Actually functions like a computer tablet. E-mail is a breeze.",Perfect size. Great resolution.,POSITIVE
114,Amazon,TRUE,5,"Bought this to replace no-name budget tablet for my daughter. She loves this as it is much faster and has a better display than her old tablet. This is a wonderful value as it is faster, has a better display and sound, is a name brand and cost about the same ... what's not to love about this product?",Daughter Loves This Tablet,POSITIVE
115,Amazon,TRUE,5,"She loves this tablet. It works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. She likes the sound of it also! She enjoys the free games she downloaded and navigates the wev easily with it.",Great Tablet For My Wife,POSITIVE
116,Amazon,TRUE,4,"It's no iPad, but it's great for Netflix and some app games. I'm not worried about the kids getting their paws on it since it's relatively inexpensive.",Great value for what you get,POSITIVE
117,Amazon,TRUE,5,I bought this for my daughter and she loves it. It's speedy when loading books!,works fine for my youngest,POSITIVE
118,Amazon,TRUE,4,Purchased for my wife who reads a lot and truly enjoys the amazon fire.,Great tablet for the price,POSITIVE
119,Amazon,TRUE,4,"A great Christmas gift, the kids love the gifts...",Great for games,POSITIVE
120,Amazon,TRUE,5,"Daughter got this as a present. It was easy to set up and display is great. Features allow us to limit her time on games, web, etc. while allowing her unlimited time to read",Bargain tablet,POSITIVE
121,Amazon,TRUE,5,I have enjoyed just learning how to use it. You're never too old to learn new things.,I love it.,POSITIVE
122,Amazon,TRUE,5,bought for husband and he was surprised it does the work he needs it for,"awesome, convenient",POSITIVE
123,Amazon,TRUE,5,This was a birthday present and it was ideal for a traveler to read ebooks on while on the rood,Small And Compact,POSITIVE
124,Amazon,TRUE,5,"My teenage daughter enjoyed her three year old 7"" Kindle for recreation but wanted a larger screen for word processing. Paired this with a Bluetooth keyboard and she was thrilled.",Daughter's new Kindle Fire HD8,POSITIVE
125,Amazon,TRUE,5,The People I purchased this for during Christmas Holiday LOVED IT...,Purchased as a Christmas Gift,POSITIVE
126,Amazon,TRUE,5,"I purchased two of these for my kids, ages 12 and 10. Forget the IPod touch. For the price, this tablet can't be beat! They can download games, books and movies for free all included with my Amazon Prime membership. Awesome!!",A MUST if you have Amazon Prime,POSITIVE
127,Amazon,TRUE,5,my kids enjoy the Fire HD and they love the picture quality,Christmas present,POSITIVE
128,Amazon,TRUE,4,Bought two of these tablets for my nieces for Christmas after we had originally bought the Amazon fire 7 inch which had a virus after 3 days of purchase and was unable to work good thing we played with it prior to giving as gift do to this being said I was very surprised on how well this tablet has held up to to not so careful 8 years olds playing with it daily we have had no problems screen is big enough for little hands to maneuver and see on was the highlight of there Christmas and still is would definitely recommend it,Great tablet for kids,POSITIVE
129,Amazon,TRUE,5,Really like the updates this product has in comparison to my first one,Great update to my existing kindle,POSITIVE
130,Amazon,TRUE,5,Functionality and ease of use are outstanding right out of the the box. Super clear screen and weight is minimum and is a joy to use.,Excellent device,POSITIVE
131,Amazon,TRUE,5,This tablet is great for kids and adults who have little to no knowledge of computers. It handles easily and has plenty of storage,Works very well especially for non tech people,POSITIVE
132,Amazon,TRUE,5,My god sister has been using these for years.What to read more!,Great display,POSITIVE
133,Amazon,TRUE,5,"The latest Amazon 8"" HD tablet is a very good tablet for the price. The updated processor and extra memory (with expansion slot) allow for very good performance on all that we use this tablet for. Netflix, Hulu, browsing the internet, and doing e-mails all work very smoothly. Would recommend to anyone looking for a very cost effective tablet","Amazon 8"" HD Tablet",POSITIVE
134,Amazon,TRUE,5,"totally worth the money, has all the apps I use on a daily basis!",great buy!,POSITIVE
135,Amazon,TRUE,5,Good tablet. Wife loves it and would recommend....,Great tablet for readers,POSITIVE
136,Amazon,TRUE,5,I use mine mainly for its bigger screen. I do all the same things i do on my phone..but love the big screen. I bought one for eaxh of my nieces too. And they both love theres. Making videos..playing music..reading books. They bith love them! Im happy i got them for all of us. And always reccomend them to my friends for their kids too.,I bought one for me and one for each of my nieces.,POSITIVE
137,Amazon,TRUE,5,"Amazon Fire HD8 is a great product for the price. I picked it up for $69 during the holiday shopping season. Replacing a 1st gen Samsung Tab 2. This thing is sooo much faster. Perfect size for reading Kindle books , emails, and doing the social media thing.",Best bang for your buck!,POSITIVE
138,Amazon,TRUE,4,It was a good gift for the price and had many features and options,Good for the price,POSITIVE
139,Amazon,TRUE,4,"Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price",Very good product so far,POSITIVE
140,Amazon,TRUE,5,"My kids can play, read, watch movies and much more love it!!!",This tablet its awesome !!!!,POSITIVE
141,Amazon,TRUE,4,"Great tablet for reading books, but the bluetooth is hard to get working and there are much better tablets for games and movies",Good Tablet for Books,POSITIVE
142,Amazon,TRUE,5,I love this Kindle!! I am biased I think however I have had 3 previous ones I prefer Kindles to any other tablet,Awesome,POSITIVE
143,Amazon,TRUE,4,This is a great tablet for kids. I love that their time on the tablet can be restricted.,Great for kids,POSITIVE
144,Amazon,TRUE,4,Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.,Great value for pricing,POSITIVE
145,Amazon,TRUE,5,This Tablet was purchased for our Grandmother so she could play games and read books on.,Great,POSITIVE
146,Amazon,TRUE,5,"Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices.",Awesome Table for the $$,POSITIVE
147,Amazon,TRUE,4,"I purchased this item for my husband and he has liked reading Kindle books on it and the other features like Silk, etc. Light little tablet with good features.",Good little tablet with HD quality,POSITIVE
148,Amazon,TRUE,5,"Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on.",Great raffle prize,POSITIVE
149,Amazon,TRUE,4,"My 6 yr old daughter got this tablet from Santa for Christmas. So far she loves it, a little too much perhaps.. I only use it to manage her account/permissions and so far haven't had any issues with it.. Software and HW not quite as refined as apple iPad products, but what can you expect at the lower price point.",Good tablet for the money,POSITIVE
150,Amazon,TRUE,4,"my opinion its a good option for the cost. Not as great as Apple Ipad, but it costs so much less. Still can get good use",good portable device,POSITIVE
151,Amazon,TRUE,5,"Has many educational apps I would definitely go into the settings if you're a mother like me who Is a very strict of what your children watch on TV or what games and apps they download I would definitely recommend setting the parental controls before giving it to them. In my personal opinion as a mother I feel it helps by setting the restrictions/content on It helps keep their mind away from the gutter Bcuz most apps and Internet websites have inappropriate sites children should not be watching. We can't control what they put on the Internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to I also recommend NOT putting a payment method option other than that my kids loved it","Great fun,Educational apps,books,brain teasers",POSITIVE
152,Amazon,TRUE,4,"the hd feature is what sold me on this product, along with the fact its a lotmore streamline than the older version that I have","this product has great features, and good history",POSITIVE
153,Amazon,TRUE,5,"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price.",You get a lot for the price!,POSITIVE
154,Amazon,TRUE,5,I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.,Great Reader,POSITIVE
155,Amazon,TRUE,5,Great tablet and price. Ordering online easy. Not happy took so long to receive though.,Easy to use.,POSITIVE
156,Amazon,TRUE,5,"Best tablet, good price, nice looking. Ordering on line was easy.",Great tablet for anybody.,POSITIVE
157,Amazon,TRUE,5,"I got this for my mom for Christmas. Every time I visit, she shows me something else she can do with it. I'm so jealous, I hope I get one.",jealous,POSITIVE
158,Amazon,TRUE,5,This is my fourth Kindle...upgrading each time. Mine goes everywhere with me and is used throughout the day. Wouldn't be without it.,Kindle Fire HD 8,POSITIVE
159,Amazon,TRUE,5,We bought this for our son when he went to college. He is able to upload all of his books and other documents.,Great for college students,POSITIVE
160,Amazon,TRUE,5,I purchased it for my mother-in-law and she loves it it was easier for her to use and understand,I,POSITIVE
161,Amazon,TRUE,5,The Amazon Fire is amazing! Picture clarity and sound are excellent! I highly recommend this tablet! Love it!,AMAZON FIRE.....AMAZING!,POSITIVE
162,Amazon,TRUE,5,Sharp picture and easy to use. And a fantastic price,I love it,POSITIVE
163,Amazon,TRUE,4,I like this is great I bought it my friend he was pleased abount,Good,POSITIVE
164,Amazon,TRUE,4,I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.,FIRE HD Amazing,POSITIVE
165,Amazon,TRUE,5,This a great tablet for everyone. Plenty of memory for downloading. Great features all around.,Great tablet for the whole family,POSITIVE
166,Amazon,TRUE,5,"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.",Great tablet-reasonably priced,POSITIVE
167,Amazon,TRUE,5,This is a step up from what my son was using. He said it does well and easy to use.,Good,POSITIVE
168,Amazon,TRUE,4,This is a good tablet for kids who are starting off,tablet,POSITIVE
169,Amazon,TRUE,5,I bought this for my 6 year old and it's perfect. Faster & clearer than older versions.,"It's great, I love it!",POSITIVE
170,Amazon,TRUE,5,Awesome good size large enough for games and photos,Nice tablet,POSITIVE
171,Amazon,TRUE,5,Great gift easy to use and she loves being able to take it anywhere,My mama's BDay gift,POSITIVE
172,Amazon,TRUE,5,"I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this.",Best Buy for your buck,POSITIVE
173,Amazon,TRUE,5,"Intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. Overall a thoroughly well designed, excellent priced device for web browsing and social media.",Get Online without Hassle,POSITIVE
174,Amazon,TRUE,4,PURCHASED THIS WITH A STORE CREDIT AND LIKE IT A LOT. COMPARES WELL WITH MORE EXPENSIVE TABLETS..RECOMMENDED,nice product for the money,POSITIVE
